🦊	1F98A
🍎	1F34E
🍌	1F34C
🐱	1F431
🐶	1F436
🐘	1F418
🐟	1F41F
🍇	1F347
🎩	1F3A9
🍦	1F366
🧃	1F9C3
👑	1F451
🦁	1F981
🌙	1F319
🦉	1F989
🐙	1F419
🐼	1F43C
🐰	1F430
☀️	2600
🐯	1F42F
☂️	2602
🎻	1F3BB
🍉	1F349
🩻	1FA7B
🪀	1FA80
🦓	1F993
0️⃣	0030-FE0F-20E3
⚡	26A1
🐜	1F41C
🐻	1F43B
🚗	1F697
🦆	1F986
🥚	1F95A
🌤️	1F324
🌻	1F33B
🌱	1F331
1️⃣	0031-FE0F-20E3
2️⃣	0032-FE0F-20E3
3️⃣	0033-FE0F-20E3
4️⃣	0034-FE0F-20E3
5️⃣	0035-FE0F-20E3
👩	1F469
👨	1F468
👧	1F467
👦	1F466
👶	1F476
🍚	1F35A
🥛	1F95B
🍞	1F35E
🍪	1F36A
👀	1F440
👃	1F443
👄	1F444
🖐️	1F590
🦶	1F9B6
🌧️	1F327
❄️	2744
💨	1F4A8
👋	1F44B
🙋	1F64B
🎂	1F382
😊	1F60A
🙏	1F64F
😢	1F622
👍	1F44D
🌞	1F31E
❤️	2764
❓	2753
🎒	1F392
😴	1F634
🤩	1F929
😱	1F631
🔢	1F522
✋	270B
🧒	1F9D2
🐕	1F415
🏡	1F3E1
⏰	23F0
🍳	1F373
🪥	1FAA5
👕	1F455
🚪	1F6AA
🚶	1F6B6
🤝	1F91D
💬	1F4AC
🎈	1F388
🏠	1F3E0
🍽️	1F37D
📖	1F4D6
📅	1F4C5
🌳	1F333
🐦	1F426
🐭	1F42D
🦒	1F992
🐮	1F42E
🐷	1F437
🐺	1F43A
🐵	1F435
✏️	270F
📕	1F4D5
🤔	1F914
🖊️	1F58A
🏃	1F3C3
😋	1F60B
🧑‍🤝‍🧑	1F9D1-200D-1F91D-200D-1F9D1
🤗	1F917
🙋‍♀️	1F64B-200D-2640-FE0F
📚	1F4DA
✅	2705
😅	1F605
🗨️	1F5E8
🏫	1F3EB
🚲	1F6B2
🎉	1F389
🌦️	1F326
☔	2614
🧥	1F9E5
🛍️	1F6CD
💰	1F4B0
🙂	1F642
🎸	1F3B8
🎮	1F3AE
😄	1F604
⚽	26BD
👵	1F475
🎁	1F381
🏖️	1F3D6
🥇	1F947
👏	1F44F
☕	2615
🧩	1F9E9
🎨	1F3A8
🍕	1F355
🍂	1F342
🍁	1F341
🔬	1F52C
🧪	1F9EA
😃	1F603
🧠	1F9E0
🏆	1F3C6
📗	1F4D7
🐉	1F409
🏞️	1F3DE
🧺	1F9FA
🐇	1F407
🐢	1F422
🏰	1F3F0
💫	1F4AB
🎶	1F3B6
🐑	1F411
🙄	1F644
🕸️	1F578
🏙️	1F3D9
😰	1F630
🌾	1F33E
🌩️	1F329
🏚️	1F3DA
🏔️	1F3D4
⛄	26C4
🚕	1F695
🕯️	1F56F
🌸	1F338
🦋	1F98B
🌊	1F30A
🐠	1F420
🗺️	1F5FA
🏝️	1F3DD
🌈	1F308
🗝️	1F5DD
⛈️	26C8
🚌	1F68C
